Object ID,Date,Year,Price,Log Price,Postcode,Housing Type,New Build,Number of Turbines in View,Can View Turbines?,Buffer Group,2011-2014 (1)/2014-2017(2)/2017-2020(3)
42A5A70A-04CF-56E8-E050-A8C06205331E,03/11/2016,2016,215000,5.33243846,DN14 6WB,D,N,15,Yes,3,2
453D27A3-8C83-EF91-E050-A8C0630574D7,06/12/2016,2016,285000,5.45484486,DN7 4DL,D,N,15,Yes,4,2
453D27A3-8FB1-EF91-E050-A8C0630574D7,04/11/2016,2016,179000,5.252853031,DN7 6TR,D,N,15,Yes,4,2
453D27A3-CA85-EF91-E050-A8C0630574D7,16/12/2016,2016,175000,5.243038049,DN14 7PW,D,N,15,Yes,4,2
47844C7F-DCAF-8986-E050-A8C063056488,09/09/2016,2016,155000,5.190331698,DN9 1PA,D,N,15,Yes,4,2
47844C80-2E68-8986-E050-A8C063056488,19/08/2016,2016,238000,5.376576957,YO8 8GY,D,Y,15,Yes,4,2
47844C80-590F-8986-E050-A8C063056488,19/12/2016,2016,160000,5.204119983,DN7 4DL,D,N,15,Yes,4,2
47D118F3-5794-4A8D-95DC-E099D85A18A2,19/09/2011,2011,200000,5.301029996,YO8 6QW,D,N,15,Yes,4,1
48894604-4611-403E-9B44-5CF2758FF2F4,06/08/2014,2014,193000,5.285557309,YO8 8GY,D,N,15,Yes,4,2
48C4B49B-CB79-4FDC-BF71-1604DDC3857A,12/09/2014,2014,241800,5.383456297,DN14 9TE,D,N,15,Yes,4,2
49B7852A-5C78-7921-E050-A8C063056E8D,30/01/2017,2017,255000,5.40654018,YO8 6QD,D,N,15,Yes,4,3
49B7852A-857B-7921-E050-A8C063056E8D,14/10/2016,2016,375000,5.574031268,DN8 5SQ,D,N,15,Yes,4,2
49B7852A-BCD3-7921-E050-A8C063056E8D,10/02/2017,2017,250000,5.397940009,DN14 9TE,D,N,15,Yes,4,3
49DB66FD-BD43-47DB-96AC-EBF513CEDE63,12/08/2015,2015,310000,5.491361694,DN7 6AT,D,N,15,Yes,4,2
4B17FE73-1CF6-4571-BFAA-1E459637216B,04/10/2013,2013,125000,5.096910013,DN17 4DN,D,N,15,Yes,3,1
4B74CA87-FA18-45E3-8114-246E774FB4FF,04/05/2012,2012,215000,5.33243846,DN14 9TE,D,N,15,Yes,4,1
4C4EDFFF-BF32-1854-E050-A8C063054F34,03/03/2017,2017,246500,5.391816924,YO8 6RJ,D,N,15,Yes,4,3
4C4EDFFF-BF3D-1854-E050-A8C063054F34,07/03/2017,2017,280000,5.447158031,YO8 6RJ,D,N,15,Yes,4,3
4C4EDFFF-C14B-1854-E050-A8C063054F34,27/01/2017,2017,228000,5.357934847,YO8 8GY,D,Y,15,Yes,4,3
4C4EDFFF-ED22-1854-E050-A8C063054F34,10/02/2017,2017,105000,5.021189299,DN8 5TU,D,N,15,Yes,3,3
4C4EDFFF-F081-1854-E050-A8C063054F34,14/10/2016,2016,135000,5.130333768,DN7 6AT,D,N,15,Yes,4,2
4E3060C5-3BA0-479C-B72E-70D41C394D4F,22/08/2011,2011,245000,5.389166084,DN14 0RY,D,N,15,Yes,4,1
4E95D757-78A4-EDA1-E050-A8C0630539E2,31/03/2017,2017,270000,5.431363764,DN14 6LJ,D,N,15,Yes,3,3
4E95D757-79EF-EDA1-E050-A8C0630539E2,17/03/2017,2017,350000,5.544068044,DN9 1PY,D,N,15,Yes,4,3
4E95D758-0BC4-EDA1-E050-A8C0630539E2,31/03/2017,2017,265000,5.423245874,HU15 2GD,D,N,15,Yes,4,3
4EB6BECF-E8B7-4BE2-B538-38460A414707,16/01/2014,2014,210000,5.322219295,DN14 6LJ,D,N,15,Yes,3,2
4EBD0876-DC86-4759-8AB9-E9CC621D2BDA,17/09/2012,2012,125000,5.096910013,DN14 7QP,D,N,15,Yes,4,1
50F18103-1C76-9FD5-E050-A8C063054923,12/04/2017,2017,175000,5.243038049,DN14 6JN,D,N,15,Yes,3,3
50F18103-C7C9-9FD5-E050-A8C063054923,16/12/2016,2016,282950,5.451709698,DN14 7PW,D,N,15,Yes,4,2
51CBAE80-24AC-43C2-AE7A-86EAEF3F7B9F,28/11/2011,2011,140000,5.146128036,DN14 6JP,D,N,15,Yes,3,1
5376B385-CE3D-34C1-E053-6B04A8C09FF6,14/06/2017,2017,198000,5.29666519,YO8 6QW,D,N,15,Yes,4,3
5376B386-37BE-34C1-E053-6B04A8C09FF6,12/06/2017,2017,217000,5.336459734,DN14 6US,D,N,15,Yes,2,3
5535EB31-7B4E-45BE-B13D-D1FC23980403,08/07/2011,2011,236000,5.372912003,DN7 6RP,D,N,15,Yes,4,1
55BDCAE6-055E-521D-E053-6B04A8C0DD7A,30/06/2017,2017,250000,5.397940009,DN15 8RW,D,N,15,Yes,4,3
55BDCAE6-55E2-521D-E053-6B04A8C0DD7A,16/06/2017,2017,300000,5.477121255,YO8 6QW,D,N,15,Yes,4,3
55BDCAE6-57EA-521D-E053-6B04A8C0DD7A,19/05/2017,2017,230000,5.361727836,YO8 8GY,D,N,15,Yes,4,3
55BDCAE6-C281-521D-E053-6B04A8C0DD7A,05/07/2017,2017,258000,5.411619706,HU15 2GB,D,N,15,Yes,4,3
55BDCAE6-C2E1-521D-E053-6B04A8C0DD7A,23/06/2017,2017,180000,5.255272505,DN14 8PQ,D,N,15,Yes,2,3
55BDCAE6-C36E-521D-E053-6B04A8C0DD7A,12/07/2017,2017,175000,5.243038049,DN14 6PL,D,N,15,Yes,3,3
55D66B22-AE92-477A-AF42-27992AA76C9B,08/03/2013,2013,175000,5.243038049,DN14 6WB,D,N,15,Yes,3,1
561A9966-C33A-47F0-96EB-D4479DC6EFC6,31/01/2014,2014,212000,5.326335861,HU15 2GD,D,N,15,Yes,4,2
56EC1B56-CB2B-452A-B2CE-849B2482DA29,26/06/2014,2014,89000,4.949390007,DN8 5TU,D,N,15,Yes,3,2
582D0637-0A9E-8F22-E053-6C04A8C01BAC,03/08/2017,2017,173000,5.238046103,DN9 1PA,D,N,15,Yes,4,3
582D0637-0ABA-8F22-E053-6C04A8C01BAC,11/08/2017,2017,186000,5.269512944,DN17 4LY,D,N,15,Yes,3,3
582D0637-9299-8F22-E053-6C04A8C01BAC,24/08/2017,2017,98000,4.991226076,DN7 4DL,D,N,15,Yes,4,3
582D0637-D55A-8F22-E053-6C04A8C01BAC,11/08/2017,2017,160000,5.204119983,DN14 7PW,D,N,15,Yes,4,3
58808868-1BAF-41EC-94B2-DA8B47DE3BE6,18/08/2011,2011,90000,4.954242509,DN17 4QP,D,N,15,Yes,3,1
58CB655C-BD1D-467C-8635-521FFA00DD85,04/05/2012,2012,249950,5.397853141,DN7 6RP,D,Y,15,Yes,4,1
59152D6F-A414-4F94-9E81-3FE29F0DCB58,17/04/2015,2015,190000,5.278753601,HU15 2UQ,D,N,15,Yes,4,2
59B472C4-D2B6-4EAB-A881-72F3E1E3D958,11/10/2011,2011,88000,4.944482672,DN7 5AJ,D,N,15,Yes,4,1
5A9D8B55-3838-68EB-E053-6B04A8C0D293,24/08/2017,2017,177000,5.247973266,DN15 8TB,D,N,15,Yes,4,3
5A9D8B55-39C7-68EB-E053-6B04A8C0D293,01/09/2017,2017,220000,5.342422681,DN15 8TF,D,N,15,Yes,4,3
5A9D8B55-3A07-68EB-E053-6B04A8C0D293,16/08/2017,2017,310000,5.491361694,DN17 4GL,D,N,15,Yes,3,3
5A9D8B55-8A72-68EB-E053-6B04A8C0D293,08/09/2017,2017,262500,5.419129308,YO8 6QD,D,N,15,Yes,4,3
5A9D8B55-8A8D-68EB-E053-6B04A8C0D293,14/07/2017,2017,252500,5.402261382,YO8 6QD,D,N,15,Yes,4,3
5A9D8B55-FD71-68EB-E053-6B04A8C0D293,21/08/2017,2017,237500,5.375663614,DN14 6UX,D,N,15,Yes,2,3
5A9D8B55-FD84-68EB-E053-6B04A8C0D293,29/08/2017,2017,140000,5.146128036,DN14 8BP,D,N,15,Yes,2,3
5CF9903B-FDF6-7F13-E053-6C04A8C074B1,04/10/2017,2017,212000,5.326335861,DN14 6JN,D,N,15,Yes,3,3
5CF9903B-FF8A-7F13-E053-6C04A8C074B1,05/10/2017,2017,147000,5.167317335,DN17 4DN,D,N,15,Yes,3,3
5D1D60E0-5032-4631-810D-4B85997A9E4E,13/01/2011,2011,275000,5.439332694,DN7 6AT,D,N,15,Yes,4,1
5D44D4A7-974E-44D6-8DAC-3B1C9CAFA019,05/08/2015,2015,127500,5.105510185,DN14 7QP,D,N,15,Yes,4,2
5F100018-5AC5-4657-8A0C-51E8B5848148,10/11/2014,2014,150000,5.176091259,DN8 5BH,D,N,15,Yes,3,2
5F54B81D-3517-2B45-E053-6B04A8C01FB0,10/11/2017,2017,320000,5.505149978,DN9 1PA,D,N,15,Yes,4,3
5F54B81D-C0B5-2B45-E053-6B04A8C01FB0,12/10/2017,2017,175000,5.243038049,DN7 6TR,D,N,15,Yes,4,3
60761449-1A7D-41F9-BECD-DD03CEFF006F,15/03/2013,2013,145000,5.161368002,DN14 8BP,D,N,15,Yes,2,1
61D8894E-5CA7-3DE6-E053-6C04A8C01207,10/11/2017,2017,215000,5.33243846,DN8 5BH,D,N,15,Yes,3,3
625737FE-D765-4DEF-9CEC-457642FADADD,28/01/2011,2011,178000,5.250420002,DN7 4FD,D,N,15,Yes,4,1
64342BFE-484B-422C-E053-6C04A8C0FB8A,15/12/2017,2017,230000,5.361727836,DN14 5PF,D,N,15,Yes,3,3
64342BFE-4916-422C-E053-6C04A8C0FB8A,11/01/2018,2018,250000,5.397940009,DN15 8RW,D,N,15,Yes,4,3
64342BFE-AB73-422C-E053-6C04A8C0FB8A,08/12/2017,2017,253000,5.403120521,DN14 0RY,D,N,15,Yes,4,3
64342BFE-E396-422C-E053-6C04A8C0FB8A,13/12/2017,2017,125000,5.096910013,DN7 4DL,D,N,15,Yes,4,3
64342BFE-E441-422C-E053-6C04A8C0FB8A,13/10/2017,2017,175000,5.243038049,DN7 4FD,D,N,15,Yes,4,3
64342BFE-E44A-422C-E053-6C04A8C0FB8A,17/11/2017,2017,170000,5.230448921,DN7 4FD,D,N,15,Yes,4,3
64342BFF-310F-422C-E053-6C04A8C0FB8A,08/12/2017,2017,185000,5.267171728,DN14 6WB,D,N,15,Yes,3,3
64342BFF-3166-422C-E053-6C04A8C0FB8A,18/04/2017,2017,162500,5.210853365,DN14 6US,D,N,15,Yes,2,3
649555D7-B206-4200-B590-53ABE928E791,02/12/2014,2014,110000,5.041392685,DN15 8BL,D,N,15,Yes,4,2
64D33633-8DB8-4726-82E8-55DE305E31B3,29/06/2015,2015,150000,5.176091259,DN14 6US,D,N,15,Yes,2,2
336A113C-BD7D-405C-802F-653272A88CC8,28/08/2013 00:00,2013,247000,5.392696953,DN9 1LH,D,N,,,4,1
6808422C-83A2-44AB-A503-E4167361FA4F,28/11/2014,2014,103000,5.012837225,DN14 5TT,D,N,15,Yes,2,2
68BF360D-D887-4AC7-87F6-CDB2521F0F66,06/07/2012,2012,175000,5.243038049,DN14 6LH,D,N,15,Yes,3,1
68FEB20B-8ACB-38DA-E053-6C04A8C051AE,05/03/2018,2018,190000,5.278753601,DN9 1PY,D,N,15,Yes,4,3
68FEB20B-D4C6-38DA-E053-6C04A8C051AE,23/03/2018,2018,225000,5.352182518,YO8 6QW,D,N,15,Yes,4,3
68FEB20B-D51E-38DA-E053-6C04A8C051AE,01/03/2018,2018,247000,5.392696953,YO8 8GY,D,N,15,Yes,4,3
68FEB20B-FF46-38DA-E053-6C04A8C051AE,22/11/2017,2017,165000,5.217483944,DN8 4RR,D,N,15,Yes,3,3
34128633-4577-40EF-A297-BDC5B4560BB3,30/10/2013 00:00,2013,377000,5.57634135,DN9 1JY,D,Y,,,4,1
68FEB20C-3AD7-38DA-E053-6C04A8C051AE,02/03/2018,2018,254000,5.404833717,DN7 6AT,D,N,15,Yes,4,3
6939259E-1F7D-4F62-861B-DFC5730ED249,01/02/2013,2013,170000,5.230448921,DN14 6PL,D,N,15,Yes,3,1
6A9BAD34-8A07-4665-86A0-38D3AC803C95,01/11/2013,2013,249999,5.397938271,YO8 6QW,D,N,15,Yes,4,1
6B32222C-AD76-01F1-E053-6C04A8C0D2C8,05/03/2018,2018,130000,5.113943352,DN7 6RN,D,N,15,Yes,4,3
6B32222C-E1ED-01F1-E053-6C04A8C0D2C8,29/03/2018,2018,215000,5.33243846,DN14 6US,D,N,15,Yes,2,3
6CE64232-0C74-4C14-BA3B-5B9F3F8F4214,10/04/2015,2015,185000,5.267171728,DN14 8LX,D,N,15,Yes,3,2
6DA0844A-65CE-30F2-E053-6B04A8C05F3B,02/05/2018,2018,145000,5.161368002,DN7 4DJ,D,N,15,Yes,4,3
